,latitude,longitude,temp,pressure,humidity,dew_point,uvi,clouds,wind_speed,wind_deg,wind_gust,price,probability
19,52.8863,-1.835,281.81,1014.0,72.0,279.02,0.0,71.0,8.99,269.0,8.83,688695.0,0
20,56.3703,-1.5925,277.72,1010.0,60.0,278.7,0.0,100.0,6.8,268.0,19.7,376905.0,0
21,59.1172,-7.7166,282.53,1018.0,69.0,275.28,0.02,54.0,14.24,310.0,15.45,839495.0,0
22,58.1493,-4.4849,283.48,999.0,86.0,279.5,0.0,39.0,4.44,245.0,6.01,100000.0,0
23,58.3819,-2.0832,284.69,980.0,92.0,276.39,0.0,60.0,13.79,275.0,14.94,294627.0,0
24,58.3049,-2.8375,286.38,1006.0,65.0,279.87,0.0,53.0,5.83,249.0,19.89,503821.0,0
25,53.086,-2.6796,282.21,1012.0,90.0,276.11,0.04,100.0,10.28,289.0,12.49,196613.0,0
26,50.4985,1.3233,281.19,1010.0,90.0,277.82,0.0,75.0,12.17,251.0,11.19,100000.0,0
27,50.0955,-6.6673,278.58,1007.0,76.0,276.49,0.0,100.0,1.04,312.0,9.2,100000.0,0
28,55.2252,0.9252,280.97,1034.0,71.0,277.52,0.0,73.0,0.81,205.0,18.65,394619.0,0
29,50.7831,-1.263,281.89,1022.0,86.0,279.21,0.05,100.0,10.68,262.0,0.0,103199.0,0
30,54.6332,-5.8706,279.63,1016.0,68.0,281.96,0.04,57.0,9.05,299.0,11.5,513412.0,0
31,51.4788,-6.0002,280.41,1018.0,69.0,276.58,0.0,69.0,5.29,281.0,12.94,100000.0,0
32,55.1781,-4.9495,283.26,996.0,70.0,277.54,0.06,83.0,6.11,252.0,17.49,499751.0,0
33,53.5188,-0.6372,286.47,1013.0,72.0,281.44,0.02,87.0,4.99,211.0,28.35,303456.0,0
34,57.1441,-7.072,282.18,1024.0,90.0,281.03,0.0,100.0,14.36,222.0,11.34,308434.0,0
35,56.0939,-2.1129,285.44,1032.0,81.0,279.38,0.02,73.0,13.86,339.0,10.46,100000.0,0
36,57.3782,-1.9991,281.64,1009.0,84.0,277.11,0.0,61.0,8.35,238.0,13.18,224176.0,0
37,57.1744,0.5443,281.6,1014.0,66.0,282.1,0.0,94.0,5.56,242.0,13.2,312807.0,0
38,53.4174,-2.128,281.4,993.0,74.0,279.11,0.02,91.0,6.08,327.0,9.43,100000.0,0
39,50.953,-6.0007,280.76,1005.0,78.0,271.53,0.0,99.0,10.49,284.0,19.57,537476.0,0
40,58.1234,0.1507,282.5,1026.0,88.0,279.91,0.0,57.0,9.77,298.0,19.64,369359.0,0
41,54.4216,-0.7374,281.31,1025.0,65.0,277.78,0.04,80.0,1.53,224.0,17.9,593397.0,0
42,51.8455,-3.2247,282.95,1011.0,85.0,272.01,0.0,85.0,6.09,211.0,19.12,339543.0,0
43,52.7516,-1.3877,286.27,1019.0,75.0,273.89,0.0,95.0,5.28,312.0,11.93,192365.0,0
44,52.0646,-5.6022,280.13,992.0,81.0,279.36,0.07,71.0,8.31,257.0,12.35,100455.0,0
45,59.7336,-5.7704,279.53,1000.0,70.0,279.56,0.0,50.0,5.9,273.0,19.19,484357.0,0
46,54.557,0.8515,283.58,1044.0,76.0,276.87,0.02,20.0,8.47,228.0,16.85,328603.0,0
47,53.9152,-5.6236,281.84,1032.0,58.0,276.68,0.0,100.0,16.51,295.0,12.31,180360.0,0
48,51.3741,-5.5519,286.78,1023.0,72.0,274.81,0.0,100.0,4.62,259.0,3.51,222643.0,0
49,50.2867,-0.2205,281.17,1010.0,63.0,276.46,0.04,58.0,12.9,261.0,19.04,383937.0,0
50,51.0287,-3.7111,288.91,1031.0,67.0,279.31,0.02,66.0,4.28,238.0,22.79,355589.0,0
51,55.8717,0.7568,284.82,1029.0,75.0,280.8,0.04,41.0,16.35,337.0,19.06,238210.0,0
52,59.5082,-5.3124,284.83,1010.0,73.0,278.36,0.0,54.0,11.59,267.0,19.49,649987.0,0
53,51.7839,-7.13,281.75,1007.0,79.0,279.61,0.03,82.0,16.05,294.0,16.6,100000.0,0
54,56.0989,-4.8609,281.63,1013.0,52.0,281.19,0.01,100.0,4.06,343.0,19.35,100000.0,0
55,52.7309,-7.1845,279.93,1026.0,75.0,277.18,0.02,100.0,13.95,342.0,17.08,458908.0,0
56,57.3941,-3.5438,277.59,1020.0,82.0,276.68,0.0,47.0,3.4,347.0,19.67,100000.0,0
57,52.9187,-6.453,281.32,1013.0,84.0,281.23,0.01,71.0,11.54,253.0,9.26,160010.0,0
58,52.9864,-4.1288,283.08,1034.0,86.0,272.85,0.03,49.0,6.03,236.0,14.08,442720.0,0
59,56.5385,-7.9988,285.38,1021.0,72.0,277.99,0.04,71.0,10.72,248.0,25.23,404506.0,0
60,54.4733,-1.002,278.11,1026.0,71.0,279.36,0.03,61.0,11.34,314.0,24.7,100000.0,0
61,54.4725,-2.0158,281.59,1014.0,80.0,275.93,0.05,46.0,6.66,226.0,14.54,332602.0,0
62,53.8086,1.9398,283.05,1024.0,78.0,278.71,0.07,88.0,11.96,308.0,9.07,315122.0,0
63,59.4443,-5.8562,282.17,1002.0,69.0,280.11,0.0,37.0,11.55,244.0,17.06,546005.0,0
64,56.6294,-0.1339,282.55,990.0,86.0,277.0,0.02,77.0,12.91,384.0,18.0,187463.0,0
65,54.8341,1.5875,283.43,1009.0,63.0,278.34,0.02,88.0,10.52,302.0,10.27,788939.0,0
66,58.8563,-4.4896,288.18,1005.0,67.0,275.41,0.0,52.0,5.96,289.0,16.43,116263.0,0
67,52.5865,0.0808,280.28,1003.0,71.0,276.26,0.01,100.0,6.93,183.0,17.5,100000.0,0
68,50.607,-5.9543,280.53,1029.0,79.0,279.56,0.03,100.0,14.03,305.0,17.66,103313.0,0
69,54.6973,1.3303,287.51,1010.0,98.0,277.26,0.03,54.0,11.75,322.0,12.94,233130.0,0
70,53.0537,-3.7018,281.04,1011.0,88.0,277.07,0.0,67.0,4.9,317.0,13.48,100000.0,0
71,53.5599,-2.9452,282.4,1010.0,94.0,279.05,0.03,66.0,2.59,311.0,13.47,361743.0,0
72,53.8222,0.7761,284.33,1028.0,86.0,279.27,0.07,96.0,10.28,341.0,16.87,100000.0,0
73,58.8529,-1.227,283.24,1013.0,67.0,279.28,0.0,100.0,5.64,277.0,16.91,404741.0,0
74,53.8025,-3.0107,281.91,1014.0,92.0,278.7,0.01,100.0,2.49,285.0,24.85,310418.0,0
75,52.7755,-0.4098,281.68,1019.0,62.0,275.81,0.0,97.0,6.4,234.0,16.17,100000.0,0
76,54.7888,0.2949,285.4,1005.0,76.0,279.67,0.05,43.0,3.47,244.0,14.25,622471.0,0
77,51.2975,-3.2743,282.42,1023.0,100.0,276.26,0.02,58.0,7.52,329.0,22.36,330517.0,0
78,52.0463,1.7492,284.9,1024.0,64.0,281.11,0.01,100.0,8.24,169.0,22.93,313498.0,0
79,53.078,-0.9211,284.26,1024.0,69.0,279.33,0.0,62.0,11.41,399.0,25.67,447429.0,0
80,59.9095,-2.2919,280.41,996.0,81.0,277.76,0.01,62.0,14.46,358.0,19.42,587107.0,0
81,57.4494,-5.8635,282.72,1034.0,74.0,272.97,0.0,46.0,12.52,272.0,8.31,561773.0,0
82,57.4183,1.9026,282.12,1026.0,57.0,276.94,0.02,100.0,10.7,219.0,13.34,248978.0,0
83,53.4707,-7.0903,282.51,1015.0,81.0,279.9,0.01,70.0,14.4,309.0,17.94,100000.0,0
84,59.7296,-7.8723,285.01,1010.0,64.0,279.78,0.0,41.0,2.33,213.0,18.29,631558.0,0
85,50.546,-4.8887,284.1,1026.0,83.0,280.66,0.0,59.0,9.21,224.0,8.83,601290.0,0
86,53.2577,-5.4205,285.98,1031.0,64.0,276.78,0.0,97.0,8.88,244.0,7.82,100000.0,0
87,53.2058,-7.9774,284.21,1021.0,66.0,275.09,0.0,42.0,1.36,288.0,19.68,862417.0,0
88,53.3587,-1.6325,280.58,1033.0,74.0,281.92,0.0,73.0,10.08,305.0,15.55,525799.0,0
89,56.1445,-7.1496,284.1,999.0,91.0,274.97,0.03,85.0,6.71,313.0,14.88,446434.0,0
90,53.6926,-1.2054,280.51,1034.0,80.0,273.43,0.02,34.0,10.74,288.0,12.36,224518.0,0
91,54.5059,-1.2686,282.11,1011.0,71.0,280.06,0.0,63.0,6.45,269.0,19.2,508544.0,0
92,53.242,-4.293,281.53,1024.0,73.0,271.39,0.0,63.0,11.98,252.0,16.06,362164.0,0
93,59.3042,-7.5027,280.99,997.0,78.0,279.59,0.03,63.0,9.04,318.0,16.65,139107.0,0
94,56.73,-0.1188,279.19,1011.0,71.0,277.66,0.0,100.0,14.05,280.0,18.31,528754.0,0
95,59.1594,0.5745,279.38,1018.0,78.0,279.5,0.05,100.0,7.77,304.0,18.56,196503.0,0
96,55.7644,-2.9452,279.63,1014.0,67.0,277.44,0.04,93.0,8.76,323.0,10.7,409718.0,0
97,57.8702,-1.316,281.25,1026.0,91.0,279.14,0.04,100.0,8.16,300.0,21.37,402543.0,0
98,55.7114,-3.5519,278.85,1021.0,82.0,278.68,0.0,69.0,15.28,251.0,19.74,275659.0,0
99,57.8992,-5.5528,281.55,1021.0,70.0,280.41,0.02,34.0,4.8,295.0,15.76,230962.0,0
100,56.8636,-5.6424,284.06,1031.0,79.0,278.83,0.04,77.0,9.76,246.0,13.23,191038.0,0
101,56.5624,-5.5238,280.36,1014.0,86.0,276.21,0.08,62.0,16.67,270.0,20.6,428216.0,0
102,51.8726,-5.6139,285.07,1027.0,76.0,277.65,0.03,35.0,7.01,324.0,15.34,339409.0,0
103,59.025,0.1368,283.27,1020.0,73.0,276.13,0.0,100.0,11.67,349.0,11.67,522862.0,0
104,51.2234,-7.2,280.44,1008.0,69.0,278.39,0.06,46.0,6.13,247.0,14.74,508599.0,0
105,55.0535,-6.1761,283.62,1022.0,80.0,279.38,0.02,67.0,10.57,293.0,21.72,244227.0,0
106,58.1116,-7.3879,278.73,1013.0,83.0,277.06,0.0,100.0,6.98,266.0,13.89,552810.0,0
107,59.8387,-3.4704,282.53,1009.0,86.0,282.17,0.0,93.0,10.73,228.0,14.9,681119.0,0
108,51.9462,-7.9632,284.3,1013.0,66.0,274.47,0.0,100.0,7.65,364.0,25.6,983040.0,0
109,58.615,-0.4361,282.47,992.0,80.0,279.16,0.0,84.0,9.19,274.0,17.53,371101.0,0
110,54.3537,-2.2785,286.82,1023.0,65.0,279.08,0.0,44.0,12.67,303.0,16.54,685636.0,0
111,50.6431,0.5956,281.47,1013.0,86.0,277.2,0.0,65.0,6.86,244.0,13.89,497478.0,0
112,52.6861,-4.4467,276.3,1012.0,71.0,282.5,0.0,92.0,5.48,356.0,13.81,388308.0,0
113,51.7596,-1.521,283.99,1022.0,82.0,273.87,0.0,55.0,14.28,243.0,14.03,492234.0,0
114,58.3516,-2.3325,280.48,1027.0,79.0,280.29,0.0,54.0,9.48,281.0,4.65,440542.0,0
115,59.1303,-2.7455,279.7,1033.0,76.0,279.2,0.05,85.0,13.64,309.0,23.39,504187.0,0
116,55.8802,-2.5348,282.41,1022.0,73.0,280.73,0.07,62.0,14.11,268.0,23.02,290216.0,0
117,55.3999,-7.2665,280.48,1046.0,72.0,278.51,0.02,30.0,15.82,203.0,18.39,673611.0,0
118,55.3197,-7.5091,280.71,1008.0,88.0,275.86,0.04,91.0,6.41,258.0,25.34,275557.0,0
119,58.9646,0.6848,280.56,1020.0,68.0,282.43,0.04,100.0,13.48,297.0,8.63,279458.0,0
120,53.6848,-0.9886,280.51,1022.0,73.0,279.77,0.0,43.0,16.46,344.0,13.3,100000.0,0
121,54.9658,-4.2316,279.63,1025.0,78.0,276.36,0.06,93.0,10.03,205.0,22.35,439236.0,0
122,50.699,-3.6532,279.64,1014.0,62.0,275.86,0.02,69.0,11.69,373.0,21.78,384899.0,0
123,50.8645,-3.6596,282.9,1023.0,77.0,274.31,0.05,53.0,6.94,280.0,18.27,586651.0,0
124,57.6284,-1.5912,280.92,1000.0,60.0,275.22,0.0,67.0,2.18,292.0,20.95,371223.0,0
125,51.9315,0.7881,282.87,1016.0,57.0,279.16,0.0,100.0,7.97,246.0,16.66,100000.0,0
126,53.2629,-2.205,280.23,1035.0,80.0,281.0,0.0,90.0,0.26,234.0,11.96,326694.0,0
127,57.9921,-4.4781,280.44,1021.0,54.0,282.71,0.03,91.0,7.1,299.0,19.13,178253.0,0
128,54.2912,-5.5843,281.01,1009.0,79.0,281.93,0.04,51.0,16.02,216.0,12.05,661717.0,0
129,55.9242,-2.2948,282.85,1014.0,83.0,271.27,0.03,25.0,0.89,356.0,22.09,369556.0,0
130,51.1968,-0.044,281.86,1041.0,65.0,287.0,0.0,100.0,5.5,343.0,11.05,154666.0,0
131,52.8891,0.1033,280.57,996.0,68.0,278.53,0.02,75.0,4.74,272.0,7.79,754832.0,0
132,55.0166,0.0389,281.27,1027.0,85.0,274.65,0.04,98.0,10.66,268.0,14.89,488351.0,0
133,54.0238,-4.2313,281.71,1016.0,89.0,275.27,0.04,81.0,6.56,299.0,21.2,650745.0,0
134,50.7386,-4.9453,283.83,998.0,70.0,278.83,0.0,56.0,11.89,260.0,23.05,568897.0,0
135,52.4057,-4.8857,284.79,1008.0,80.0,279.75,0.0,80.0,7.2,275.0,9.93,264457.0,0
136,54.3021,-7.7273,279.53,1012.0,84.0,278.18,0.01,99.0,8.6,336.0,14.71,493018.0,0
137,50.0758,-4.0554,280.78,1013.0,80.0,280.47,0.02,79.0,15.23,277.0,16.28,279763.0,0
138,54.1654,-7.1322,280.14,998.0,87.0,279.88,0.04,59.0,13.21,294.0,17.37,324640.0,0
139,58.7231,-3.8176,277.35,1006.0,70.0,278.71,0.0,85.0,3.79,244.0,3.13,393156.0,0
140,53.3149,-4.1798,283.92,997.0,82.0,279.57,0.05,82.0,2.96,370.0,25.66,887050.0,0
141,55.1316,-2.5018,281.19,1026.0,74.0,273.73,0.0,91.0,14.22,269.0,19.46,111296.0,0
142,57.0415,1.5934,279.11,1018.0,59.0,275.13,0.02,88.0,7.58,314.0,18.58,691568.0,0
143,51.7176,-7.3595,281.8,999.0,88.0,274.15,0.03,67.0,7.56,317.0,13.58,265977.0,0
144,53.0513,-5.8196,280.95,1047.0,96.0,278.22,0.01,42.0,13.58,315.0,16.42,382149.0,0
145,58.612,-7.8296,276.93,1026.0,89.0,277.15,0.05,85.0,12.54,270.0,16.37,503082.0,0
146,52.704,-3.301,280.29,1022.0,79.0,276.89,0.06,91.0,10.08,240.0,18.36,142796.0,0
147,55.6772,-7.3227,283.96,1031.0,79.0,277.54,0.0,100.0,2.94,192.0,7.17,674351.0,0
148,55.9215,1.9333,283.24,1026.0,84.0,279.21,0.0,50.0,13.77,330.0,13.08,120948.0,0
149,52.3013,-1.3188,284.94,1009.0,76.0,281.39,0.05,69.0,14.09,297.0,25.61,576919.0,0
150,59.5376,-0.6969,281.54,1031.0,85.0,277.05,0.0,100.0,9.74,257.0,3.11,100000.0,0
151,53.3654,0.3447,281.59,1009.0,71.0,283.18,0.03,18.0,9.53,268.0,19.17,521062.0,0
152,52.185,1.3178,282.44,1017.0,85.0,281.95,0.01,26.0,6.68,281.0,8.56,519086.0,0
153,56.4633,-3.6094,283.83,1026.0,82.0,276.21,0.0,62.0,12.38,280.0,13.01,290345.0,0
154,59.6183,1.7879,276.88,1012.0,90.0,282.32,0.01,79.0,16.32,275.0,17.05,176436.0,0
155,51.2707,-6.0157,281.65,1015.0,77.0,277.62,0.01,100.0,6.75,281.0,21.07,349712.0,0
156,58.3952,-5.1243,277.96,1008.0,84.0,277.11,0.05,68.0,12.59,272.0,7.44,468800.0,0
157,57.4385,-6.6594,282.12,1020.0,79.0,278.93,0.0,70.0,9.73,301.0,19.43,100000.0,0
158,58.4271,-0.5826,284.45,1027.0,73.0,280.46,0.0,100.0,10.84,285.0,20.03,100000.0,0
159,53.1362,-4.5716,281.08,1016.0,86.0,278.26,0.0,54.0,6.84,313.0,13.02,422578.0,0
160,53.3156,-1.4872,279.91,1010.0,64.0,282.03,0.0,100.0,8.47,304.0,6.33,621001.0,0
161,57.4967,-2.5885,278.43,1037.0,84.0,276.18,0.02,33.0,5.29,237.0,10.89,251799.0,0
162,53.7977,-0.044,279.77,1032.0,100.0,277.38,0.03,93.0,10.03,253.0,16.29,100000.0,0
163,57.2895,-4.2351,280.51,1021.0,71.0,275.96,0.0,36.0,6.7,295.0,8.99,299588.0,0
164,52.4674,0.618,283.85,1029.0,76.0,275.48,0.0,82.0,15.22,376.0,21.62,496848.0,0
165,59.9354,-6.4506,281.35,1004.0,90.0,278.89,0.0,86.0,9.87,232.0,10.61,493238.0,0
166,55.4195,-0.8547,280.16,1007.0,71.0,278.33,0.02,100.0,12.68,266.0,10.98,585644.0,0
167,55.4189,-2.8252,283.13,1007.0,70.0,278.06,0.03,49.0,11.49,296.0,9.59,596784.0,0
168,56.9447,-5.5927,278.48,1008.0,69.0,274.98,0.0,80.0,11.5,303.0,18.11,577209.0,0
169,54.1319,-4.014,281.88,1014.0,85.0,279.01,0.0,97.0,6.83,355.0,6.97,218942.0,0
170,58.974,-5.4577,281.72,1006.0,79.0,272.43,0.0,88.0,9.99,333.0,17.29,725472.0,0
171,57.7493,-5.8998,287.15,1005.0,74.0,276.04,0.03,100.0,7.15,260.0,12.37,222160.0,0
172,50.6807,-7.4682,280.27,1016.0,75.0,280.0,0.03,96.0,6.65,206.0,9.18,689546.0,0
173,52.1375,-7.4343,283.63,1030.0,77.0,276.23,0.01,85.0,6.55,221.0,8.94,100000.0,0
174,51.8081,1.8295,282.57,999.0,73.0,278.19,0.01,100.0,2.09,250.0,19.59,100000.0,0
175,59.7065,0.0794,277.53,1014.0,54.0,275.29,0.02,89.0,9.91,266.0,9.92,718465.0,0
176,50.5984,-5.2398,282.2,999.0,79.0,278.89,0.0,57.0,4.78,365.0,21.44,100000.0,0
177,51.5227,-6.6727,283.88,1019.0,100.0,276.3,0.03,77.0,0.17,293.0,2.32,116392.0,0
178,54.4263,0.6744,282.61,1032.0,78.0,274.5,0.0,91.0,13.51,267.0,11.96,160799.0,0
179,59.1016,-7.8786,281.35,1021.0,83.0,275.96,0.05,57.0,6.18,342.0,22.82,100000.0,0
180,54.1223,-1.167,285.34,1021.0,78.0,276.7,0.02,61.0,7.2,273.0,5.77,327408.0,0
181,53.7625,-6.6485,280.82,1008.0,81.0,282.03,0.06,100.0,11.83,250.0,17.63,185078.0,0
182,55.1832,-4.0872,281.65,1016.0,89.0,283.35,0.0,40.0,10.59,327.0,20.99,496387.0,0
183,57.3239,-6.4434,279.34,992.0,88.0,276.34,0.0,83.0,9.83,233.0,14.35,451054.0,0
184,59.0086,-3.5139,282.01,987.0,69.0,276.05,0.0,100.0,6.22,344.0,10.68,682904.0,0
185,58.7238,-3.2281,280.21,1006.0,82.0,283.31,0.0,88.0,18.4,190.0,21.39,345447.0,0
186,53.3435,0.0419,283.11,1024.0,76.0,273.42,0.0,100.0,10.84,303.0,15.86,217919.0,0
187,53.3419,-3.7731,279.15,1007.0,84.0,279.41,0.0,100.0,13.42,281.0,18.88,474125.0,0
188,50.2989,-5.4703,282.19,1007.0,79.0,277.32,0.07,91.0,7.32,276.0,21.68,100000.0,0
189,54.2731,-7.8662,285.04,1011.0,64.0,277.59,0.03,87.0,9.97,317.0,8.22,574552.0,0
190,59.9782,0.0545,280.69,1036.0,74.0,277.31,0.0,100.0,6.78,301.0,21.2,329237.0,0
191,55.7664,-5.4311,283.09,1008.0,77.0,278.47,0.03,96.0,6.95,207.0,25.1,163020.0,0
192,52.0268,1.9716,284.3,996.0,86.0,278.78,0.04,58.0,6.43,283.0,20.27,239227.0,0
193,53.8158,-5.148,281.87,990.0,84.0,277.18,0.0,82.0,10.98,196.0,14.92,257103.0,0
194,53.9707,-5.5174,283.78,1025.0,81.0,282.31,0.05,93.0,8.99,299.0,6.43,100000.0,0
195,54.0027,-6.6923,281.56,1017.0,68.0,277.3,0.02,59.0,8.34,210.0,19.15,285316.0,0
196,52.1354,-2.4891,282.36,1026.0,80.0,280.13,0.03,62.0,11.46,272.0,14.87,521241.0,0
197,58.5473,-4.8249,281.83,1007.0,72.0,279.21,0.0,59.0,8.0,200.0,15.75,100000.0,0
198,50.1854,-5.4916,287.0,1020.0,78.0,278.08,0.01,88.0,9.98,251.0,18.7,225752.0,0
199,50.9535,-7.533,283.65,1022.0,77.0,276.92,0.06,39.0,11.2,278.0,14.0,254032.0,0
200,53.0306,0.1409,278.75,1005.0,82.0,280.58,0.0,100.0,10.41,277.0,31.49,639389.0,0
201,55.673,1.3691,280.97,1008.0,65.0,280.27,0.0,100.0,15.72,275.0,19.79,775515.0,0
202,52.7504,-2.6942,280.26,1023.0,75.0,279.51,0.05,44.0,11.26,308.0,17.37,454237.0,0
203,51.0144,-5.473,279.25,1024.0,71.0,276.49,0.0,100.0,10.38,340.0,13.87,100000.0,0
204,57.2891,-0.4002,283.09,1020.0,75.0,277.83,0.04,43.0,12.05,274.0,8.93,391054.0,0
205,54.8267,1.5878,283.06,1010.0,73.0,280.37,0.01,95.0,10.58,230.0,25.11,228503.0,0
206,55.9478,-7.995,278.09,1010.0,74.0,279.35,0.0,57.0,11.25,311.0,18.8,540433.0,0
207,55.3924,-3.9213,284.03,1023.0,75.0,281.6,0.0,53.0,12.15,286.0,17.37,638775.0,0
208,57.8582,-2.2624,284.63,1018.0,73.0,274.22,0.02,96.0,8.48,177.0,11.65,323571.0,0
209,56.6227,0.7104,283.13,1030.0,81.0,278.31,0.02,76.0,7.96,262.0,15.13,185139.0,0
210,53.8026,-7.2643,282.87,1022.0,69.0,281.56,0.04,41.0,6.82,398.0,17.76,100000.0,0
211,55.8827,0.2728,281.1,1032.0,58.0,278.91,0.02,100.0,7.83,284.0,25.44,245757.0,0
212,56.027,-3.8831,278.22,1012.0,77.0,274.03,0.0,49.0,5.66,282.0,19.41,323351.0,0
213,59.609,-4.1445,281.0,1025.0,89.0,276.19,0.0,44.0,5.07,253.0,19.77,109405.0,0
214,52.8324,0.5915,283.28,1023.0,56.0,283.09,0.04,91.0,5.5,313.0,23.26,100000.0,0
215,57.7669,-4.6121,285.25,1023.0,93.0,278.47,0.0,73.0,14.12,212.0,20.07,141092.0,0
216,56.2959,-1.4472,281.17,1031.0,77.0,277.02,0.0,61.0,8.19,235.0,20.31,100000.0,0
217,55.3179,-3.6787,281.39,1007.0,75.0,277.02,0.03,45.0,12.58,343.0,21.03,144257.0,0
218,51.9857,-3.0461,284.31,1009.0,86.0,276.38,0.02,88.0,10.95,237.0,8.32,282182.0,0
219,52.7075,0.8324,284.7,1026.0,67.0,279.57,0.02,91.0,7.36,289.0,21.97,536019.0,0
220,54.3052,-1.1825,281.86,1003.0,79.0,276.59,0.01,100.0,10.73,368.0,18.8,100000.0,0
221,53.9044,-5.0003,284.05,1020.0,65.0,275.4,0.0,74.0,0.74,253.0,12.72,100000.0,0
222,52.9786,-4.3577,283.57,1027.0,80.0,276.83,0.01,87.0,12.05,295.0,6.64,100000.0,0
223,51.8065,0.8869,280.29,1026.0,66.0,277.96,0.02,87.0,5.45,228.0,8.76,536410.0,0
224,52.3292,1.8456,283.29,1003.0,73.0,272.62,0.06,83.0,13.01,321.0,10.97,425340.0,0
225,59.4641,1.9428,284.28,1025.0,63.0,274.89,0.02,71.0,11.86,383.0,15.72,425642.0,0
226,56.5421,-6.5546,283.86,1020.0,91.0,280.96,0.0,100.0,12.62,292.0,23.67,354965.0,0
227,53.9335,-4.3789,280.61,1029.0,73.0,277.25,0.07,100.0,8.85,366.0,12.09,299510.0,0
228,57.8654,-3.2417,284.85,1009.0,78.0,281.4,0.05,22.0,4.8,250.0,20.29,620001.0,0
229,53.6541,1.3666,283.33,1029.0,74.0,278.71,0.01,77.0,9.33,271.0,5.9,209907.0,0
230,50.5806,-1.6475,282.32,1028.0,91.0,277.95,0.11,61.0,10.82,238.0,6.37,553156.0,0
231,55.7247,1.3485,283.88,1014.0,87.0,276.54,0.0,60.0,11.95,326.0,25.95,304662.0,0
232,51.0828,-7.653,280.28,1024.0,60.0,282.53,0.0,93.0,11.37,291.0,17.97,471060.0,0
233,56.9641,-3.105,284.06,1000.0,85.0,277.49,0.01,61.0,6.84,266.0,12.26,246184.0,0
234,59.5055,-5.6412,279.66,1014.0,71.0,275.95,0.04,96.0,10.22,229.0,9.5,100000.0,0
235,53.2912,-3.0263,282.63,995.0,64.0,276.74,0.0,44.0,11.62,359.0,19.83,541533.0,0
236,58.5608,-1.7279,281.86,1008.0,66.0,275.71,0.09,86.0,5.61,243.0,8.32,342626.0,0
237,56.8209,-3.443,284.89,1026.0,73.0,281.5,0.0,95.0,4.98,380.0,18.25,177259.0,0
238,52.2113,0.7508,280.34,1001.0,73.0,274.99,0.02,63.0,12.56,307.0,19.66,416331.0,0
239,54.9576,-2.674,284.0,1028.0,78.0,274.64,0.07,53.0,11.98,313.0,12.53,100000.0,0
240,55.5171,-6.9892,281.33,1005.0,87.0,278.27,0.07,31.0,7.3,331.0,21.38,536798.0,0
241,54.8362,0.5812,279.29,1038.0,84.0,276.6,0.02,87.0,13.19,279.0,17.34,127172.0,0
242,59.4146,-7.4811,282.42,1012.0,65.0,274.62,0.02,56.0,10.08,258.0,11.48,704766.0,0
243,59.3161,-0.1326,282.04,1018.0,82.0,277.65,0.0,74.0,8.45,238.0,17.57,235862.0,0
244,58.132,-1.6121,278.52,1028.0,78.0,276.59,0.0,48.0,15.45,326.0,14.43,677169.0,0
